"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:03:18,4694619","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\Threading","NAME NOT FOUND","Length: 16"
"15:03:18,4694803","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\TrustLevel","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"15:03:18,4695392","mspaint.exe","20252","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\CustomAttributes","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4695637","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\RemoteServer","NAME NOT FOUND","Length: 144"
"15:03:18,4695826","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\ActivateAsUser","NAME NOT FOUND","Length: 16"
"15:03:18,4696019","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\ActivateInSharedBroker","NAME NOT FOUND","Length: 16"
"15:03:18,4696218","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\ActivateInBrokerForMediumILContainer","NAME NOT FOUND","Length: 16"
"15:03:18,4696417","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\Permissions","NAME NOT FOUND","Length: 140"
"15:03:18,4696608","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Internal.StateRepository.AppExtension\ActivateOnHostFlags","NAME NOT FOUND","Length: 16"
"15:03:18,4717268","mspaint.exe","20252","RegOpenKey","\REGISTRY\WC\Silo45933c16-a2c3-cbb9-89d8-1a186d576ba6user_classes\Interface\{21374459-F51F-462A-A7C1-53B8C35DD20B}","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4717950","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{21374459-F51F-462A-A7C1-53B8C35DD20B}","REPARSE GLOBAL","Desired Access: Read"
"15:03:18,4719306","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{21374459-f51f-462a-a7c1-53b8c35dd20b}","SUCCESS","Desired Access: Read"
"15:03:18,4720793","mspaint.exe","20252","RegOpenKey","HKCU\Software\Classes\Interface\{21374459-F51F-462A-A7C1-53B8C35DD20B}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4722034","mspaint.exe","20252","RegOpenKey","HKCR\Interface\{21374459-f51f-462a-a7c1-53b8c35dd20b}\ProxyStubClsid32","SUCCESS","Desired Access: Read"
"15:03:18,4723252","mspaint.exe","20252","RegOpenKey","HKCU\Software\Classes\Interface\{21374459-F51F-462A-A7C1-53B8C35DD20B}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"15:03:18,4723614","mspaint.exe","20252","RegQueryValue","HKCR\Interface\{21374459-f51f-462a-a7c1-53b8c35dd20b}\ProxyStubClsid32\(Default)","SUCCESS","Type: REG_SZ, Length: 78, Data: {c53e07ec-25f3-4093-aa39-fc67ea22e99d}"
"15:03:18,4768783","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\CrossDevice!!S-1-5-21-1954885551-2068432198-3101717203-1001!CrossDeviceRoot41d047b8-8614-402f-b162-6abd9019c199\CopyHook","NAME NOT FOUND","Length: 90"
"15:03:18,4769854","mspaint.exe","20252","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\CrossDevice!!S-1-5-21-1954885551-2068432198-3101717203-1001!CrossDeviceRoot41d047b8-8614-402f-b162-6abd9019c199\UserSyncRoots","SUCCESS","Desired Access: Read"
"15:03:18,4772344","mspaint.exe","20252","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\CrossDevice!!S-1-5-21-1954885551-2068432198-3101717203-1001!CrossDeviceRoot41d047b8-8614-402f-b162-6abd9019c199\PendingRedirectionSyncRoots","NAME NOT FOUND","Desired Access: Read"
"15:03:18,4774818","mspaint.exe","20252","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb","SUCCESS","Desired Access: Read"
"15:03:18,4775263","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\DisplayNameResource","SUCCESS","Type: REG_SZ, Length: 40, Data: OneDrive - Personal"
"15:03:18,4775729","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\IconResource","SUCCESS","Type: REG_SZ, Length: 132, Data: C:\Users\trofi\AppData\Local\Microsoft\OneDrive\OneDrive.exe,-501"
"15:03:18,4776183","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\Flags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1058"
"15:03:18,4776613","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\Handler","SUCCESS","Type: REG_SZ, Length: 78, Data: {71DCE5D6-4B57-496B-AC21-CD5B54EB93FD}"
"15:03:18,4777056","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\BannerNotificationHandler","SUCCESS","Type: REG_SZ, Length: 78, Data: {2e7c0a19-0438-41e9-81e3-3ad3d64f55ba}"
"15:03:18,4777487","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\ProtectionMode","SUCCESS","Type: REG_SZ, Length: 18, Data: Personal"
"15:03:18,4778064","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\CustomStateHandler","SUCCESS","Type: REG_SZ, Length: 78, Data: {389510b7-9e58-40d7-98bf-60b911cb0ea9}"
"15:03:18,4778526","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\ThumbnailProvider","SUCCESS","Type: REG_SZ, Length: 78, Data: {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A}"
"15:03:18,4778975","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\ExtendedPropertiesHandler","NAME NOT FOUND","Length: 90"
"15:03:18,4779294","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\UriHandler","SUCCESS","Type: REG_SZ, Length: 78, Data: {9489FEB2-1925-4D01-B788-6D912C70F7F2}"
"15:03:18,4779744","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\HandlerFactory","NAME NOT FOUND","Length: 90"
"15:03:18,4780224","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\StorageProviderStatusUISourceFactory","SUCCESS","Type: REG_SZ, Length: 78, Data: {0827D883-485C-4D62-BA2C-A332DBF3D4B0}"
"15:03:18,4780690","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\NamespaceCLSID","NAME NOT FOUND","Length: 90"
"15:03:18,4781011","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\ShareHandler","SUCCESS","Type: REG_SZ, Length: 78, Data: {20894375-46AE-46E2-BAFD-CB38975CDCE6}"
"15:03:18,4781461","mspaint.exe","20252","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager\OneDrive!S-1-5-21-1954885551-2068432198-3101717203-1001!Personal|64596177a8974798aa3cdca7b318b4cb\StorageProviderShareLinkSource","NAME NOT FOUND","Length: 90"
